id,name,sector,stage,location,funding_needed,traction,team_score,market_size,founded_year,revenue_arr,employees,website,business_model,problem,solution,description,tags
startup_011,SkillForge,EdTech,Series A,"Bangalore, India",7.0,8.4,8.7,180.0,2021,2.8,78,https://skillforge.in,B2B corporate L&D subscription,"India's IT sector spends ₹8,200 crore annually on learning and development, yet 61% of employees report skills training is irrelevant to their actual work. LMS platforms are rigid, passive, and lack hands-on coding environments.","SkillForge is an AI-driven enterprise upskilling platform that builds personalised learning paths based on an employee's current skills, role requirements, and performance data. It includes a live coding sandbox, AI mentor, real project simulations, and a skills-gap marketplace where companies can trade talent.","SkillForge serves 68 enterprise clients with 240,000 licensed users. Annual contract value averages ₹18 lakh per enterprise. The platform has a 91% course completion rate vs 15% industry average, driven by its adaptive microlearning engine. Shortlisted by LinkedIn Learning as a preferred partner in India. Net Revenue Retention is 128%.",edtech|upskilling|enterprise|saas|ai|b2b|india
startup_012,CampusConnect,EdTech,Seed,"Delhi, India",2.2,6.9,7.9,55.0,2022,0.4,19,https://campusconnect.edu,SaaS for colleges + student subscription,"India has 42,000 colleges, yet most lack a digital infrastructure for student-faculty collaboration, placement tracking, alumni networks, and event management. Colleges rely on WhatsApp groups and paper notices for critical communications.","CampusConnect is an all-in-one campus management super-app offering digital classrooms, AI-powered placement preparation, alumni mentorship marketplace, college events, and a verified student social network. It integrates with existing ERP systems and provides a white-labelled app per institution.","CampusConnect is live across 380 colleges and 410,000 students. Placement success rate for enrolled students improved by 28%. The alumni marketplace has 14,000 mentors. Average revenue per college is ₹2.4 lakh annually. Raised a pre-seed round of ₹1.8 crore in 2023. Looking to expand to East Asia campuses.",edtech|campus|placement|saas|b2b|india
startup_013,GuruBot,EdTech,Pre-Seed,"Pune, India",0.9,6.3,7.4,40.0,2023,0.05,6,https://gurubot.ai,Freemium + subscription,Over 15 million students in India prepare for JEE and NEET annually. Traditional coaching costs ₹2-4 lakh and is inaccessible for 60% of aspirants from rural areas. Existing apps offer pre-recorded content without personalised doubt resolution.,"GuruBot is a WhatsApp-native AI tutor that answers JEE/NEET doubts in text, voice, and image format within 10 seconds, provides step-by-step solutions in English and Hindi, and generates a personalised weak-topic study plan updated after each interaction.","GuruBot crossed 55,000 active monthly users in 8 months purely through word-of-mouth. Daily message volume exceeds 180,000 queries. Conversion from free to paid is 9.4%, above the edtech SaaS benchmark. The founding team includes an IIT Bombay alumnus and a former Vedantu curriculum head. Pilot integrations with two test-prep institutes underway.",edtech|ai-tutor|jee|neet|whatsapp|b2c|india
startup_014,LangLeap,EdTech,Series B,"Hyderabad, India",15.0,9.1,9.0,210.0,2019,8.5,198,https://langleap.com,Subscription + B2B licensing,"India's BPO and IT services sector needs 1.2 million English-proficient hires annually, yet 72% of engineering graduates fail communication assessments. Traditional English training is classroom-based, expensive, and slow.","LangLeap is an AI-powered spoken English and business communication platform that uses voice AI for real-time pronunciation correction, scenario-based role-play (job interviews, client calls, presentations), and a personalised fluency roadmap. It offers a white-label API for HR teams to embed in onboarding workflows.","LangLeap has 1.6 million registered learners and 110,000 paid subscribers. B2B clients include Infosys, Mphasis, and 38 BPO companies. Average learner achieves CEFR B2 level in 90 days vs 9 months with conventional methods. Revenue grew 2.8x year-on-year. The platform recently expanded to Indonesia and Philippines.",language-learning|voice-ai|spoken-english|hr-tech|b2b|b2c
startup_015,VidyaVerse,EdTech,Seed,"Mumbai, India",3.5,7.8,8.5,90.0,2022,0.9,34,https://vidyaverse.in,B2G + B2B school subscriptions,India's 1.5 million government school teachers lack digital teaching tools in local languages. Only 28% of classrooms are digitally equipped. Learning outcome gaps between private and government schools are widening at 3% per year.,"VidyaVerse delivers a tablet-based offline-first digital classroom platform in 14 Indian languages. It provides 3D animated curriculum aligned with NCERT, an AI-based teacher co-pilot for lesson planning, and a learning outcome tracker synced to DIKSHA portal.","VidyaVerse is deployed in 4,200 government schools across Rajasthan, UP, and Bihar under state government contracts. 680,000 students use the platform. Learning outcomes in enrolled schools improved by 34% in standardised assessments. Three new state tenders worth ₹48 crore are in final procurement stages.",edtech|govtech|vernacular|offline|b2g|india
startup_016,SolarGrid,CleanTech,Series A,"Pune, India",12.0,8.6,8.9,350.0,2020,4.1,112,https://solargrid.in,EPC + O&M contracts,India's 30 million SME manufacturers pay 22-28% of revenues on electricity. Rooftop solar adoption is under 3% among SMEs due to high upfront capital costs of ₹30-50 lakh and complex installation processes with no guaranteed returns.,SolarGrid offers a zero-capex solar-as-a-service model for SME factories. It installs rooftop solar at no cost to the manufacturer and charges a per-unit electricity rate 30-40% below grid tariff over a 15-year PPA. Its proprietary IoT monitoring platform provides real-time energy analytics and predictive maintenance alerts.,"SolarGrid has installed 48 MW across 260 SME clients in Maharashtra, Gujarat, and Karnataka. Monthly energy dispatched is 4.8 million kWh with 99.1% uptime SLA. Carbon credits generated are sold to 18 FMCG companies for Scope 3 offset. MNRE registered and empanelled with SIDBI green finance scheme.",solar|cleantech|sme|ppa|iot|b2b|india
startup_017,HydroLoop,CleanTech,Seed,"Chennai, India",4.0,7.3,8.1,120.0,2022,0.8,27,https://hydroloop.co,Equipment leasing + water credits,"Indian industry discharges 13.5 billion litres of wastewater daily, 74% of which is untreated. Water recycling plants are unaffordable for small manufacturers, and municipal water scarcity increases operational risk.","HydroLoop manufactures modular decentralised water recycling units that plug into existing drainage lines. Treated water meets IS 10500 standards for industrial reuse. The unit is available on a lease model with pay-per-kilolitre pricing. An IoT dashboard tracks water quality, flow, and savings in real time.","HydroLoop has deployed 64 units across textile dyeing, food processing, and pharma manufacturers. Average client saves ₹8.4 lakh annually in water costs. The company is ISO 14001 certified and has a technology tie-up with IIT Madras's Water Research Centre. Shortlisted for Niti Aayog's Water Innovation Challenge 2023.",water|cleantech|circular-economy|iot|b2b|india
startup_018,GreenFreight,CleanTech,Pre-Seed,"Delhi, India",1.8,6.0,7.6,80.0,2023,0.12,11,https://greenfreight.in,Fleet subscription + carbon credit brokerage,"India's trucking sector emits 300 million tonnes of CO2 annually and is responsible for 45% of urban particulate pollution. Fleet owners resist EV transition due to high upfront cost, range anxiety, and poor charging infrastructure on highway routes.","GreenFreight provides a route-optimised EV fleet management platform for last-mile and mid-mile logistics companies. It includes battery leasing to reduce capex, a proprietary charging corridor map with real-time availability, and automatic carbon credit generation and brokerage for fleet operators.","GreenFreight is running a pilot with 3 logistics companies in Delhi-NCR covering 80 EVs across 14 routes. Fuel savings average ₹18,000 per vehicle per month. Carbon credits generated are sold to e-commerce companies for ESG reporting. Pre-seed backed by a climate tech angel syndicate. Government EV subsidy advisor engaged.",ev|logistics|carbon|cleantech|b2b|india
startup_019,WindCell,CleanTech,Series B,"Gujarat, India",28.0,9.3,9.5,500.0,2018,12.4,265,https://windcell.energy,IPP + energy trading,"India's renewable energy integration is limited by grid instability caused by the intermittent nature of wind and solar generation. DISCOM curtailment of renewable energy reached 18 billion kWh in FY23, costing ₹900 crore in stranded generation.","WindCell develops co-located wind-solar hybrid plants with grid-scale battery storage (BESS) that deliver firm, schedulable renewable power. Its AI dispatch engine predicts generation 72 hours ahead and trades energy on the power exchange in real time, maximising returns for plant owners.",WindCell operates 280 MW of hybrid capacity in Gujarat and Rajasthan under long-term PPAs with DISCOMs and C&I buyers. EBITDA margin is 42%. It is the only Indian IPP with ISO 50001 energy management certification. The Series B will fund a 400 MW pipeline and a battery storage manufacturing JV with a South Korean partner.,wind|solar|bess|ipp|energy-trading|cleantech|india
startup_020,CarbonLedger,CleanTech,Seed,"Bangalore, India",3.2,7.0,8.4,95.0,2022,0.6,23,https://carbonledger.in,SaaS subscription + credit brokerage fee,"Indian companies face mandatory ESG reporting under SEBI's BRSR framework but lack standardised tools to measure, verify, and report Scope 1, 2, and 3 emissions. Manual spreadsheet-based carbon accounting has 28% error rates and fails audits.","CarbonLedger is an automated carbon accounting platform that integrates with ERP systems (SAP, Oracle, Tally), electricity bills, and supply chain data to auto-compute emissions. It uses blockchain for immutable audit trails and a built-in carbon offset marketplace to help companies achieve net-zero targets.",CarbonLedger serves 95 corporate clients including two Nifty 50 companies. Platform processes emissions data for 3.2 million tonnes of CO2 equivalent annually. BRSR report generation time reduced from 6 weeks to 4 hours. Partnership with BSE to provide data feeds for listed company sustainability rankings. GRI and TCFD reporting compliant.,esg|carbon|saas|blockchain|b2b|india
startup_021,CropMind,AgriTech,Series A,"Hyderabad, India",6.8,8.3,8.8,200.0,2020,2.2,74,https://cropmind.ag,Subscription + input procurement commission,"India's 90 million smallholder farmers face ₹63,000 crore in annual crop losses due to pest attacks, nutrient deficiencies, and wrong sowing decisions. Agricultural advisory reaches less than 15% of farmers and is often generic and untimely.","CropMind delivers hyper-local AI crop advisory via a WhatsApp chatbot and IVRS call line. It uses satellite multi-spectral imagery, IoT soil sensors, and historical crop yield data to provide field-level sowing, irrigation, fertiliser, and pest management advisories in 8 regional languages. It also aggregates input demand for bulk procurement discounts.","CropMind is used by 680,000 farmers across Telangana, Karnataka, and Maharashtra. Average yield improvement in enrolled farms is 22%. Input procurement aggregation has delivered 18% cost savings. Revenue generated from 3 agri-input companies as distribution partners. Recognised by NABARD and ICAR as a transformative precision agriculture platform.",agritech|precision-ag|iot|satellite|whatsapp|b2c|india
startup_022,FarmFinance,AgriTech,Seed,"Pune, India",3.8,7.5,8.0,130.0,2021,0.9,32,https://farmfinance.in,Loan origination fee + interest income,"Only 30% of Indian farmers have access to formal agricultural credit. Kisan Credit Card disbursement is hampered by paper documentation, land record disputes, and seasonal income patterns that traditional banks cannot assess.","FarmFinance is an agri-lending platform that uses satellite-based crop health scores, land record API integration, and commodity price forecasting to generate a dynamic Farm Credit Score. It partners with cooperative banks and NBFCs to disburse crop and equipment loans digitally within 48 hours.","FarmFinance has originated ₹42 crore in loans to 8,200 farmers across 4 states. NPA is 1.4%, compared to 9% sector average, because its crop health model detects distress 60 days before harvest. Three more NBFC partnerships are in term-sheet stage. Pilot with Agri Sahkari Bank of Maharashtra underway for ₹100 crore co-lending arrangement.",agritech|lending|fintech|satellite|b2b|india
startup_023,ColdVault,AgriTech,Series A,"Delhi, India",10.0,8.5,8.7,160.0,2020,3.4,96,https://coldvault.in,Storage fee + logistics SaaS,"India wastes ₹92,000 crore in post-harvest food losses annually because cold chain infrastructure is fragmented, opaque, and inaccessible to smallholders. There is no single platform to track produce from farm to retailer.","ColdVault operates a network of tech-enabled modular cold storage hubs near APMCs. IoT sensors track temperature, humidity, and ethylene gas levels for each produce lot. A marketplace platform lets farmers list storage inventory, retailers bid for supply, and logistics partners bid for transport, with full digital traceability.","ColdVault has 28 cold storage hubs across UP, Bihar, and West Bengal with 84,000 metric tonnes of capacity. 12,400 farmers are registered on the marketplace. Post-harvest loss among enrolled farmers fell 63% vs baseline. Big Basket and Reliance Retail are platform buyers. Three state government subsidy contracts for rural cold storage worth ₹22 crore are active.",agritech|cold-chain|iot|marketplace|logistics|india
startup_024,PoultryIQ,AgriTech,Pre-Seed,"Coimbatore, India",0.8,5.9,7.2,35.0,2023,0.06,7,https://poultryiq.farm,IoT device + SaaS subscription,"India's 800,000 poultry farmers lose ₹5,400 crore annually to mortality caused by disease outbreaks detected too late. Manual mortality tracking and feed management in large sheds is unreliable, leading to 8-12% flock loss rates.","PoultryIQ installs an AI-powered computer vision system in poultry sheds to count birds in real time, detect early signs of disease (lethargy, abnormal gait), optimise automated feed dispensing, and alert farmers via SMS within 90 seconds of detecting anomalies.",PoultryIQ has deployed in 22 farms in Tamil Nadu with 1.4 million birds monitored. Mortality rates dropped from 9.2% to 2.8% in enrolled farms. Feed waste reduced by 14%. Three large integrator contracts in negotiation. IIT Madras Incubation Centre selected the team for its Agritech Cohort 2023.,agritech|poultry|computer-vision|iot|b2b|india
startup_025,AquaNova,AgriTech,Seed,"Bhubaneswar, India",2.5,7.1,7.8,60.0,2022,0.4,18,https://aquanova.fish,SaaS + premium shrimp marketplace,"India's shrimp aquaculture industry loses ₹4,200 crore annually to disease and poor water quality management. Farmers rely on gut instinct for feeding and aeration decisions, resulting in 35% mortality in disease-prone seasons.","AquaNova provides IoT water quality sensors (dissolved oxygen, pH, temperature, salinity) networked across shrimp ponds, with an AI feeding optimiser that dynamically adjusts feed dispenser schedules to reduce FCR by 18%. A direct-to-processor marketplace eliminates middlemen, improving farm-gate price by 22%.",AquaNova operates in 320 ponds across Andhra Pradesh and Odisha covering 480 acres. Enrolled farmers see disease incidence drop by 47% and yield increase by 19%. Processing company Avanti Feeds is a marketplace buyer. NFDB (National Fisheries Development Board) has co-funded 40 IoT installations under its aquaculture modernisation scheme.,aquaculture|iot|agritech|marketplace|b2c|india
startup_026,NeuroChip,DeepTech,Series A,"Bangalore, India",11.0,8.0,9.5,420.0,2020,2.6,58,https://neurochip.ai,Chip licensing + inference SaaS,"AI inference on edge devices like cameras, drones, and industrial robots requires chips that are simultaneously powerful and energy-efficient. Existing chips from NVIDIA and Qualcomm cost 5-8x more than developing-market use cases can afford.","NeuroChip has designed a custom neuromorphic AI inference chip (NCHIP-1) that delivers 40 TOPS at 2W power consumption, 70% cheaper than comparable alternatives. It is accompanied by an open SDK and pre-trained model library for vision, speech, and anomaly detection use cases.","NeuroChip has taped out NCHIP-1 at TSMC 7nm. Early access partners include a CCTV manufacturer (500,000 unit order), a drone OEM, and two Indian defence PSUs. IP licensed to a US semiconductor company for $2.1 million. Awarded India Semiconductor Mission grant of ₹12 crore. Team includes PhDs from IISc and ETH Zurich.",semiconductor|ai|edge|deeptech|b2b|india
startup_027,QuantumSafe,DeepTech,Seed,"Hyderabad, India",5.0,6.8,9.2,280.0,2022,0.7,20,https://quantumsafe.io,SaaS licensing to banks and defence,"Quantum computers capable of breaking RSA-2048 encryption are projected by 2030-2035. Banks, telecom companies, and government agencies storing sensitive data today face a 'harvest now, decrypt later' threat. Post-quantum cryptography migration is technically complex and has no turnkey solution.","QuantumSafe provides a PQC (Post-Quantum Cryptography) migration platform that audits existing cryptographic infrastructure, generates a risk-prioritised migration roadmap, and provides NIST FIPS 203/204-compliant encryption libraries as a drop-in replacement SDK for Java, Python, and C++.","QuantumSafe is in paid PoC with two PSU banks, DRDO, and a major telecom operator. Pilots show 99.97% backward compatibility with existing systems. CERT-In has endorsed the platform's cryptographic audit methodology. The founding team includes ex-ISRO cryptographers and IIT-Delhi PhDs with 3 published papers on lattice-based cryptography.",cybersecurity|quantum|cryptography|deeptech|b2b|india
startup_028,BioFab,DeepTech,Series B,"Bangalore, India",24.0,8.8,9.7,650.0,2018,10.8,178,https://biofab.bio,CRO services + IP licensing,Drug discovery takes 12-15 years and costs $2.6 billion on average. 90% of drug candidates fail in clinical trials because preclinical models poorly replicate human biology. India's pharma sector spends $1.8 billion annually on CRO services with limited access to cutting-edge platforms.,"BioFab has built a synthetic biology platform that engineers organ-on-chip tissue models replicating human liver, lung, and gut biology with 94% fidelity. Its AI-driven drug screening pipeline evaluates 10,000 compound-tissue interactions per day, compressing 18 months of pre-clinical work into 6 weeks.","BioFab has completed 52 drug discovery contracts with Indian pharma majors (Sun Pharma, Cipla, Lupin) and 8 global biotech firms. Three drug candidates discovered on the platform have entered Phase 1 trials. IP portfolio includes 14 patents. BIRAC-funded and recognised by DST as a Technology Business Incubator. Series B to fund US FDA GMP certification and open a Singapore operations centre.",biotech|drug-discovery|synthetic-biology|cro|deeptech|india
startup_029,HoloViz,DeepTech,Seed,"Mumbai, India",4.5,7.0,8.6,190.0,2021,1.1,29,https://holoviz.in,Enterprise SaaS + hardware leasing,"Industrial training for complex machinery (turbines, refineries, aircraft engines) involves physical risk, high cost, and geographic constraints. Traditional e-learning fails to replicate spatial, tactile, and procedural learning required for safe operations.","HoloViz creates photorealistic holographic AR training simulations for industrial equipment. Using Microsoft HoloLens integration and a proprietary 3D asset pipeline, it deploys mixed reality training modules that are deployed on-premise. A trainee analytics dashboard tracks skill acquisition and compliance certification.","HoloViz is deployed in 3 ONGC refineries, 2 Adani power plants, and 1 HAL aircraft maintenance facility. Training time for complex procedures reduced by 55%. Compliance certification pass rates improved from 71% to 96%. Client NPS is 81. Three Fortune 500 industrial companies outside India are in evaluation. Government Skill India partnership in discussion.",ar|vr|industrial-training|deeptech|saas|b2b|india
startup_030,RoboSort,DeepTech,Series A,"Pune, India",9.5,8.2,9.0,310.0,2020,3.8,88,https://robosort.ai,Robotics-as-a-service (RaaS),"India's e-commerce sector ships 12 million parcels daily, yet warehouse sortation is 80% manual, error-prone, and expensive. Labour costs are rising 12% annually, and sorting accuracy is below 94%, causing significant return logistics costs.","RoboSort deploys AI-powered autonomous mobile robots (AMRs) for warehouse sortation, picking, and packing. Its proprietary vision system achieves 99.7% sortation accuracy. The RaaS model requires zero capex from the client—robots are leased monthly with performance-based SLAs and maintained remotely via the cloud.","RoboSort has 340 AMRs deployed across 8 warehouses for clients including Flipkart, Delhivery, and two pharma distribution companies. Throughput per robot is 1,400 items/hour vs 320 for manual picking. Client EBITDA improvement averages 8 percentage points. A Series A round of $3M was raised in 2022. Series B preparation underway for FY25.",robotics|warehouse|amr|ecommerce|raas|deeptech|india
startup_031,CloudStack Pro,SaaS,Series A,"Bangalore, India",7.5,8.3,8.8,220.0,2020,3.2,82,https://cloudstackpro.io,Per-seat SaaS subscription,Indian mid-market companies (₹50-500 crore revenue) spend 28% more on cloud infrastructure than necessary because they lack FinOps expertise. Unoptimised cloud spend totals $4.2 billion annually across Indian enterprises.,"CloudStack Pro is a multi-cloud FinOps and governance platform that auto-detects idle, oversized, and unused cloud resources across AWS, Azure, and GCP. Its AI engine generates daily cost optimisation recommendations with one-click implementation, policy enforcement guardrails, and team-level spend accountability dashboards.","CloudStack Pro manages $380 million in cloud spend for 210 enterprise clients. Average client saves 34% on cloud bills within 90 days. Net Revenue Retention is 136%. It integrates with Jira, Slack, and ServiceNow for DevOps workflow compliance. Partnerships with AWS and Azure as a certified ISV partner unlocked co-sell pipeline worth $8 million.",saas|cloud|finops|devops|b2b|india
startup_032,HRMagic,SaaS,Seed,"Delhi, India",2.8,7.2,8.1,75.0,2022,0.7,26,https://hrmagic.in,Per-employee SaaS subscription,"65% of Indian SMEs still manage HR on Excel spreadsheets. Existing HRMS platforms (Darwinbox, Zoho) are over-engineered for companies with 20-200 employees, expensive, and require 3-6 month implementation cycles.","HRMagic is a mobile-first HRMS platform targeting Indian SMEs with 20-250 employees. It provides attendance (face recognition + GPS), payroll, leave, PF/ESI compliance, and performance management in a single app that deploys in under 2 hours. An AI HR assistant answers policy queries and drafts offer letters.","HRMagic serves 2,800 SME clients covering 140,000 employees. Payroll accuracy is 99.94%. Average client onboarding time is 3.5 hours. Churn rate is 1.8% monthly. Revenue has grown 4.1x in 18 months. Integration with 14 banks for salary disbursement and automatic TDS computation. NASSCOM Emerge 50 company 2023.",hrtech|saas|sme|payroll|compliance|b2b|india
startup_033,LegalEase,SaaS,Series A,"Mumbai, India",6.0,8.0,8.5,140.0,2021,2.1,62,https://legalease.in,SaaS subscription + per-document fee,"Indian companies collectively sign 2.4 billion contracts annually. Legal review costs ₹8,000-₹50,000 per contract via law firms. In-house legal teams of mid-market companies spend 60% of their time on contract drafting and review, leaving no time for strategic legal work.","LegalEase is a contract intelligence platform that uses fine-tuned LLMs trained on 1.2 million Indian contracts to auto-draft, review, and negotiate NDAs, MSAs, vendor agreements, and employment contracts. It identifies non-standard clauses, flags risk, and suggests market-standard language with jurisdiction-aware advice for Indian law.","LegalEase has 480 corporate clients with 22,000 legal and business users. Average contract review time reduced from 4 days to 40 minutes. Legal cost savings per client average ₹28 lakh annually. Integrates with DocuSign, Adobe Sign, and major Indian e-stamp portals. Backed by 2 legal technology angels including a former Supreme Court lawyer.",legaltech|nlp|contracts|saas|llm|b2b|india
